総合教養科目（般教）,杉本キャンパス,火曜日,３限目,文化人類学入門,橋本 智也,"出席点あり, 毎回の課題",,"テストなしでレポートもなし
毎回のアンケートやちょっとした課題に取り組んでさえいれば単位もらえる
教授が優しい
1/3オンラインだった","時々発表しなければならない
知らない人とグループを組まされる",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,文化人類学入門,吉川 貴仁,"期末レポート, たまに小テスト",,"有名な一番の楽単
最初の講義だけ対面。他は全部オンデマンド
授業見なくても余裕で成績もらえる
小テストだけは忘れないように解くこと、あとは最後の1200字ぐらい？のレポートを書けばOK
小テストは簡単なもので、まあChatGPTに投げたら楽勝",ないです,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF資料配布・動画配信などのオンデマンド授業・実習,
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,文化人類学入門,多和田,"期末テスト, 期末レポート",紙媒体,興味がある人,"留学生とか教師以外の外国人に自分からインタビューしてレポートを書がないといけないが、真面目にやってもAI使ってもめんどくさい。
テストは持ち込み可能なのが唯一の救いかもしれないが、ムードルにレジュメは上がらないので実質出席必須。
さらに、レポートだしてテスト受けたとしても落単する人が多く、全体で見ると半分は落ちている",授業もつまらないし、これを取るなら他のテスト100%やレポート100%を取るべき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,３限目,文化人類学入門,上村先生,"期末テスト, 期末レポート",持ち込みなし,内職し放題,レジュメがない,テストは授業を聞いてなくてもノートがあれば耐える。逆にノートはないときついので、友達と一緒に受けて順番に行くとかがおすすめかも。テストは論述で4問でした。ノートと一緒に参考文献の教科書があった方がいいです。メルカリで安く売ってるやつ買って書き込みがおすすめ。授業一切聞いてなくても前日数時間勉強すればテスト一応全部埋めることはできます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,文化人類学入門,向井先生(下の名前忘れました),"期末テスト, 毎回の課題",持ち込みなし,"・毎回出席して授業に関する内容をコミュカに書いて最後提出すれば、50点分くれます(つまりテストで10点取れれば単位は取れる)。授業にはちゃんと出席できるけど、テストには自信がないかも…みたいな人におすすめします！
・毎回レジュメを紙でくれるし、遅刻しちゃっても教室の後ろにレジュメの余り置いてくれてるから大丈夫！
・テスト前最後の授業で今までの要点(まとめ？)みたいなレジュメをくれるため、それを見ればだいたいのテスト勉強はできる。ありがたい。",・コミュカが成績の50%を占めている分、あまり気軽に休めないし、ピ逃げは確実にできない(この先生はピを確認しておらず、たとえ最初にピしててもコミュカ出してないと出席扱いにしてないので、正味ピしても意味がないです)。,・授業毎回出て、テストもある程度勉強していったら落単はしませんよ！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,文化人類学入門,向井伸哉,"出席点あり, 期末テスト",持ち込みなし,"楽単。内職はし放題。30分くらい早く終わってくれる。
期末テストは論述だが、聞かれるポイントは2週間前ぐらいに配られる今までのレジュメの要点ごとのまとめから出ていた。このまとめを覚えていって同じようなことをなんとなくかけばお情け単位はくれそうな感じ。1,2回さぼるくらいだったら出席点だけでわりとくれるのでテストは余裕。",眠い。これは時間帯が悪い。毎回コミュカ提出、でもこれは授業で配られるレジュメの要点をまとめればいいだけ。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,文化人類学入門,吉川貴仁,"期末レポート, 毎回の課題",,"遠隔で楽
動画見なくてもレジュメ見れば全然小テストできる",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF資料配布・動画配信などのオンデマンド授業・実習,
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,３限目,文化人類学入門,宮畑一範,"期末レポート, 毎回の課題",,,毎回の課題が重すぎる。課題のフィードバックが返ってこないのでどこを直したら良いかもよく分からない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,文化人類学入門,山崎孝史,"期末テスト, 中間テスト","レジュメ, 自筆ノート",テストは持ち込みありなので、授業スライドを印刷してさらっと復習すれば大体いける,たまに教授が当ててくる,当てられたときにいい回答ができれば、アメちゃんがもらえる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,３限目,文化人類学入門,西田 芳正,"出席点あり, 期末テスト, 毎回の課題","レジュメ, 自筆ノート",人数が多いのでなにしててもいい。,特になし。,大門4個中1個は過去問まんまでした。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
